"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",

"Language"                             ,"original"                                                                                                                            ,"english"                                                                                                                             ,"czech"                                                                                                                                                    ,"german"                                                                                                                                                                                          ,"russian"                                                                                                                                                                                       ,"polish"                                                                                                                                                               ,"hungarian"                                                                                                                                                                 ,"italian"                                                                                                                                                          ,"spanish"                                                                                                                                                                 ,"french"                                                                                                                                                                                                                  ,"chinese"                                                                              ,"japanese"                                                                                                                       ,"portuguese"                                                                                                                                                        ,"chinesesimp"                                                                          ,
"STR_FreezeGem_FancyColourDiamond"     ,"Raw Fancy Colour Diamond Gem"                                                                                                        ,"Raw Fancy Colour Diamond Gem"                                                                                                        ,"Surový diamant zvláštní barvy"                                                                                                                            ,"Rohdiamant mit ungewöhnlicher Farbe"                                                                                                                                                             ,"Необработанный бриллиант необычного цвета"                                                                                                                                                     ,"Surowy diament o nietypowym kolorze"                                                                                                                                  ,"Nyers színes fantáziagyémánt"                                                                                                                                              ,"Diamante grezzo di colore insolito"                                                                                                                               ,"Diamante en bruto de color singular"                                                                                                                                     ,"Diamant brut de couleur unique"                                                                                                                                                                                          ,"原色奇异钻石"                                                                         ,"原石のファンシーカラーダイヤモンド"                                                                                             ,"Diamante de cor singular bruto"                                                                                                                                    ,"原色奇异钻石"
"STR_FreezeGem_FancyColourDiamond_Cut" ,"Cut Fancy Colour Diamond Gem"                                                                                                        ,"Cut Fancy Colour Diamond Gem"                                                                                                        ,"Broušený diamant zvláštní barvy"                                                                                                                          ,"Geschliffener Diamant mit ungewöhnlicher Farbe"                                                                                                                                                  ,"Огранённый бриллиант необычного цвета"                                                                                                                                                         ,"Szlifowany diament o nietypowym kolorze"                                                                                                                              ,"Csiszolt színes fantáziagyémánt"                                                                                                                                           ,"Diamante tagliato di colore insolito"                                                                                                                             ,"Diamante cortado de color singular"                                                                                                                                      ,"Diamant taillé de couleur unique"                                                                                                                                                                                        ,"切割奇异钻石"                                                                         ,"カットされたファンシーカラーダイヤモンド"                                                                                       ,"Diamante de cor singular lapidado"                                                                                                                                 ,"切割奇异钻石"
"STR_FreezeGem_Iolite"                 ,"Raw Iolite Gem"                                                                                                                      ,"Raw Iolite Gem"                                                                                                                      ,"Surový iolitový drahokam"                                                                                                                                 ,"Rohes Iolit-Edelstein"                                                                                                                                                                           ,"Необработанный иолитовый драгоценный камень"                                                                                                                                                   ,"Surowy kamień iolitowy"                                                                                                                                               ,"Nyers iolitkő"                                                                                                                                                             ,"Pietra grezza di iolite"                                                                                                                                          ,"Gema de iolita sin cortar"                                                                                                                                               ,"Pierre brute d'iolite"                                                                                                                                                                                                   ,"未切割堇青石宝石"                                                                     ,"カットされていないアイオライトの宝石"                                                                                           ,"Gema de Iolita bruta"                                                                                                                                              ,"未切割堇青石宝石"
"STR_FreezeGem_Iolite_Cut"             ,"Cut Iolite Gem"                                                                                                                      ,"Cut Iolite Gem"                                                                                                                      ,"Broušený iolitový drahokam"                                                                                                                               ,"Geschliffener Iolit-Edelstein"                                                                                                                                                                   ,"Огранённый иолитовый драгоценный камень"                                                                                                                                                       ,"Szlifowany kamień iolitowy"                                                                                                                                           ,"Csiszolt iolitkő"                                                                                                                                                          ,"Pietra di iolite tagliata"                                                                                                                                        ,"Gema de iolita cortada"                                                                                                                                                  ,"Pierre d'iolite taillée"                                                                                                                                                                                                 ,"切割堇青石宝石"                                                                       ,"カットされたアイオライトの宝石"                                                                                                 ,"Gema de Iolita cortada"                                                                                                                                            ,"切割堇青石宝石"                                                                       ,
"STR_FreezeGem_Ruby"                   ,"Raw Ruby Gem"                                                                                                                        ,"Raw Ruby Gem"                                                                                                                        ,"Surový rubínový drahokam"                                                                                                                                 ,"Rohes Rubin-Edelstein"                                                                                                                                                                           ,"Необработанный рубиновый драгоценный камень"                                                                                                                                                   ,"Surowy kamień rubinowy"                                                                                                                                               ,"Nyers rubinkő"                                                                                                                                                             ,"Pietra grezza di rubino"                                                                                                                                          ,"Gema de rubí sin cortar"                                                                                                                                                 ,"Pierre brute de rubis"                                                                                                                                                                                                   ,"未切割红宝石宝石"                                                                     ,"カットされていないルビーの宝石"                                                                                                 ,"Gema de Rubi bruta"                                                                                                                                                ,"未切割红宝石宝石"                                                                     ,
"STR_FreezeGem_Ruby_Cut"               ,"Cut Ruby Gem"                                                                                                                        ,"Cut Ruby Gem"                                                                                                                        ,"Broušený rubínový drahokam"                                                                                                                               ,"Geschliffener Rubin-Edelstein"                                                                                                                                                                   ,"Огранённый рубиновый драгоценный камень"                                                                                                                                                       ,"Szlifowany kamień rubinowy"                                                                                                                                           ,"Csiszolt rubinkő"                                                                                                                                                          ,"Pietra di rubino tagliata"                                                                                                                                        ,"Gema de rubí cortada"                                                                                                                                                    ,"Pierre de rubis taillée"                                                                                                                                                                                                 ,"切割红宝石宝石"                                                                       ,"カットされたルビーの宝石"                                                                                                       ,"Gema de Rubi cortada"                                                                                                                                              ,"切割红宝石宝石"                                                                       ,
"STR_FreezeGem_Turquoise"              ,"Raw Turquoise Gem"                                                                                                                   ,"Raw Turquoise Gem"                                                                                                                   ,"Surový tyrkysový drahokam"                                                                                                                                ,"Rohes Türkis-Edelstein"                                                                                                                                                                          ,"Необработанный бирюзовый драгоценный камень"                                                                                                                                                   ,"Surowy kamień turkusowy"                                                                                                                                              ,"Nyers türkizkő"                                                                                                                                                            ,"Pietra grezza di turchese"                                                                                                                                        ,"Gema de turquesa sin cortar"                                                                                                                                             ,"Pierre brute de turquoise"                                                                                                                                                                                               ,"未切割绿松石宝石"                                                                     ,"カットされていないターコイズの宝石"                                                                                             ,"Gema de Turquesa bruta"                                                                                                                                            ,"未切割绿松石宝石"                                                                     ,
"STR_FreezeGem_Turquoise_Cut"          ,"Cut Turquoise Gem"                                                                                                                   ,"Cut Turquoise Gem"                                                                                                                   ,"Broušený tyrkysový drahokam"                                                                                                                              ,"Geschliffener Türkis-Edelstein"                                                                                                                                                                  ,"Огранённый бирюзовый драгоценный камень"                                                                                                                                                       ,"Szlifowany kamień turkusowy"                                                                                                                                          ,"Csiszolt türkizkő"                                                                                                                                                         ,"Pietra di turchese tagliata"                                                                                                                                      ,"Gema de turquesa cortada"                                                                                                                                                ,"Pierre de turquoise taillée"                                                                                                                                                                                             ,"切割绿松石宝石"                                                                       ,"カットされたターコイズの宝石"                                                                                                   ,"Gema de Turquesa cortada"                                                                                                                                          ,"切割绿松石宝石"
"STR_FreezeAnvil"                      ,"Crafting Anvil"                                                                                                                      ,"Crafting Anvil"                                                                                                                      ,"Kovářská kovadlina"                                                                                                                                       ,"Schmiedeamboss"                                                                                                                                                                                  ,"Кузнечный наковальня"                                                                                                                                                                          ,"Kowadło kowalskie"                                                                                                                                                    ,"Kovács üllő"                                                                                                                                                               ,"Incudine da fabbro"                                                                                                                                               ,"Yunque de herrero"                                                                                                                                                       ,"Enclume de forgeron"                                                                                                                                                                                                     ,"铁匠的铁砧"                                                                           ,"鍛冶の金床"                                                                                                                     ,"Bigorna de ferreiro"                                                                                                                                               ,"铁匠的铁砧"                                                                           ,
"STR_FreezeAnvil_desc"                 ,"Crafting Anvil that allows you to craft nuggets into ingots, enabling the creation of more valuable and refined metal bars."         ,"Crafting Anvil that allows you to craft nuggets into ingots, enabling the creation of more valuable and refined metal bars."         ,"Výrobní kovadlina, která umožňuje přeměnit nugety na ingoty, což umožňuje vytvoření cennějších a rafinovanějších kovových prutů."                         ,"Schmiedeamboss, der es ermöglicht, Nuggets in Barren zu schmieden und so wertvollere und raffiniertere Metallbarren zu schaffen."                                                                ,"Кузнечный наковальня, позволяющая создавать слитки из самородков, что позволяет создавать более ценные и рафинированные металлические слитки."                                                 ,"Kowadło do rzemiosła, które pozwala przerabiać bryłki rudy na sztabki, umożliwiając tworzenie cenniejszych i bardziej rafinowanych sztabek metalu."                   ,"Kovácsoló üllő, amely lehetővé teszi, hogy az ércdarabokból rudakat készítsen, ezáltal értékesebb és finomabb fémrudak jöhetnek létre."                                    ,"Incudine da fabbro che permette di trasformare pepite in lingotti, consentendo la creazione di barre di metallo più preziose e raffinate."                        ,"Yunque de artesanía que permite transformar pepitas en lingotes, posibilitando la creación de barras de metal más valiosas y refinadas."                                 ,"Enclume de forge qui permet de transformer des pépites en lingots, permettant la création de barres de métal plus précieuses et raffinées."                                                                              ,"锻造铁砧，可将矿石块锻造成锭，从而创造出更有价值和精炼的金属棒。"                     ,"鍛造アンビル。鉱石塊をインゴットに鍛造し、より価値のある精製された金属棒の作成を可能にします。"                                 ,"Bigorna de forja que permite transformar pepitas de minério em lingotes, possibilitando a criação de barras de metal mais valiosas e refinadas."                   ,"锻造铁砧，可将矿石块锻造成锭，从而创造出更有价值和精炼的金属棒。"
